age,sexe,revenu_mensuel,nbr_visites_30j,temps_depuis_derniere_commande,type_client,commande_30j
56,F,3214.425649134273,4,111.68398321036817,occasionnel,0
69,F,1970.4793465446435,5,22.091261247199586,occasionnel,0
46,M,1013.5193435604224,5,31.4990405952343,premium,0
32,M,5420.762039131921,3,17.945030809386918,fidèle,0
60,F,231.0772177150417,7,48.92357549062591,fidèle,0
25,M,1498.0181142732902,3,238.70618772040928,premium,0
38,F,1021.2188942726494,0,1.1630098589707274,fidèle,0
56,F,,6,103.54798381520804,premium,1
36,F,2065.2672690508593,6,0.17702028821573937,occasionnel,1
40,F,1854.8035416387888,4,20.381178759170854,occasionnel,0
28,M,7114.275227515245,5,8.309359743178513,occasionnel,0
28,M,1926.3333284502796,9,63.72455987354713,occasionnel,0
41,M,4974.348520414199,5,2.337142115932119,premium,0
70,M,1753.85864555205,4,36.28269812943157,fidèle,0
53,F,1126.567533135617,3,15.725371813688376,occasionnel,1
57,F,3182.1920475569304,6,6.457035056088387,fidèle,1
41,M,1703.8910114938672,2,66.49256935689405,fidèle,0
20,F,2910.126890550849,6,11.031978605105827,occasionnel,0
39,F,3816.9228266027026,6,11.393293733843603,fidèle,1
70,F,1688.5106274979203,6,14.476029312215037,premium,0
19,M,2752.8057653079345,5,39.76843990188899,fidèle,1
41,M,,3,48.502241546007035,fidèle,0
61,M,3633.069529540105,4,0.7991680728057393,occasionnel,0
47,F,2864.1326576198912,4,12.460496584885876,occasionnel,0
55,M,3941.572563203074,5,25.372062124582428,occasionnel,1
19,M,5323.447109584864,4,18.154467147962364,fidèle,0
38,M,4041.703569202535,4,97.00368143416699,occasionnel,0
50,M,8278.990573500194,5,69.74082163570569,occasionnel,0
29,M,5315.056630774142,5,44.24426924860807,premium,1
39,M,,5,18.564920892042327,fidèle,0
61,F,1600.0277423254925,7,54.2797411026245,fidèle,1
42,F,,3,83.50116881842112,occasionnel,0
66,M,4140.8748662454245,2,40.655226519942175,occasionnel,0
44,M,,4,69.0577009876445,occasionnel,0
59,F,4220.974914279145,4,62.22242700973745,fidèle,1
45,F,3891.0204040433086,6,38.16083307159611,occasionnel,0
33,M,1090.8286778738857,3,16.840475101507955,fidèle,0
32,M,5247.789072040209,5,61.63036802402454,premium,1
64,M,,5,10.425388561000643,occasionnel,1
68,M,8016.369074506671,5,68.03121307601424,occasionnel,0
61,F,2462.582340294756,5,73.45951931568938,fidèle,0
72,M,1957.6546317243776,3,77.70536956267634,premium,1
69,M,964.3338742604635,10,28.817788288163367,premium,0
74,M,949.9166913542259,5,9.620478322486738,occasionnel,0
20,M,4828.736393779142,4,4.727405329607995,occasionnel,1
54,F,7491.094059606189,4,61.203862208383626,fidèle,0
68,F,2303.140741252291,7,97.82335394722666,fidèle,1
24,F,2187.121469777196,3,47.34991389635376,occasionnel,0
38,M,2638.123876722177,6,7.005235804179713,fidèle,1
26,M,5492.4453424727735,2,122.92992796473483,fidèle,0
56,F,1099.8609849855761,4,203.36297971272495,occasionnel,0
35,M,2990.592280183007,4,25.562877330746765,premium,0
21,M,4903.877234263447,4,40.65466141736721,occasionnel,0
42,F,3601.326906158339,8,67.57239538401285,fidèle,0
31,F,68.87846416434508,5,59.99776849642721,fidèle,0
67,F,4055.86194681626,8,154.5926012764994,occasionnel,0
26,F,3626.3524933878866,5,5.491599400024306,fidèle,0
43,M,6215.089508338147,7,39.11525687276054,fidèle,1
70,M,7102.236904618508,8,52.98447858278969,premium,1
19,F,6008.6562085695605,3,99.36765355831334,occasionnel,1
37,M,2648.94020187927,4,93.25547154039636,fidèle,1
45,F,,6,171.7516548940553,fidèle,0
64,F,2174.632347568238,4,32.292029354355314,fidèle,0
24,M,2585.389928259644,4,79.93991587239779,premium,0
61,F,7428.63202380473,6,25.081259417148075,occasionnel,1
25,M,1320.2298726350996,2,24.692606958756855,occasionnel,0
64,M,716.0371859423543,4,13.147044929740284,fidèle,1
52,M,1757.4052096707896,2,76.72739478255603,occasionnel,1
31,M,1384.5698419497103,8,191.50099516282341,premium,0
34,F,645.8536241831735,7,13.327814788197742,fidèle,0
53,M,2342.4953189100343,2,2.599583248935651,occasionnel,0
67,F,2663.0661624080735,5,76.06511347814003,fidèle,1
57,F,606.4395044935737,6,43.56853249492738,occasionnel,0
21,F,1947.7521107263217,7,144.5118321361517,fidèle,0
19,F,1308.0133580231563,7,13.080247369132461,occasionnel,1
23,M,2729.4280364762376,7,3.3154340584724182,occasionnel,0
71,M,2935.99690420199,6,30.516516128073608,occasionnel,0
